offer_id,title,brand,price,availability,product_type,gtin,mpn,condition,custom_label0,custom_label1,has_brand_in_title,matched_brand,is_workhorse,workhorse_model,workhorse_description,missing_attributes
"RA15AY18AJ1NA, RCFY2414STAAMC",Rheem 1.5 Ton 14.3 SEER2 AC & Evaporator Coil System,Rheem,0 USD,in stock,rheem,,"RA15AY18AJ1NA, RCFY2414STAAMC",new,,,True,rheem,False,,,GTIN
GPHH36031,Goodman 2 Ton 13.4 SEER2 Packaged Heat Pump - GPHH36031,Goodman,0 USD,in stock,goodman 1,,GPHH36031,new,,,True,goodman,False,,,GTIN
ZC-01,HydroBalance Zip Foam Condenser Cleaner Aerosol 18oz NetWt,HydroBalance,0 USD,in stock,hvac parts supplies,,ZC-01,new,,,False,,False,,,GTIN
GLXS3BN4210,Goodman GLXS3BN4210 3.5 Ton R-32 Air Conditioner,Goodman,0 USD,in stock,goodman 1,,GLXS3BN4210,new,,,True,goodman,False,,,GTIN
ROSSLV10,"Rossi 10"" Sleeve - Manual Damper",Rossi,0 USD,in stock,hvac parts supplies,,,new,,,False,,False,,,"GTIN, MPN"
"GLXS5BA2410, GR9S800403ANA, CHPTA2426B3",GOODMAN 2 Ton 15.2 SEER2 R-32 80% AFUE AC System (Horizontal Coil),Goodman,0 USD,in stock,goodman 1,,"GLXS5BA2410, GR9S800403ANA, CHPTA2426B3",new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
"S-GXV6SS3010,S-AHVE36CP1300,S-GTST-CW-WH-A",SOLACE 2.5 Ton 16.2 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler,Solace,0 USD,in stock,solace,,"S-GXV6SS3010, S-AHVE36CP1300, S-GTST-CW-WH-A",new,,,True,solace,False,,,GTIN
RECT122448,"Trunk Line Without End Caps (12 X 24 X 48) 12"" x 24"" x 48"" HVAC Duct",,0 USD,in stock,hvac parts supplies,,RECT122448,new,,,False,,False,,,GTIN
S-GRVT960403BN,"Solace 40,000 BTU 96% AFUE Gas Furnace - S-GRVT960403BN",Solace,0 USD,in stock,solace,,S-GRVT960403BN,new,,,True,solace,False,,,GTIN
GR9S920403AN,Goodman GR9S920403AN 92% AFUE Gas Furnace,Goodman,0 USD,in stock,goodman 1,,GR9S920403AN,new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
RSWG148,14 x 8 Stamp Faced Sidewall/Ceiling Return Grille White,Airscape,0 USD,in stock,hvac parts supplies,,,new,,,False,,False,,,"GTIN, MPN"
184WIRE300,18-4 Thermostat Wire 300' Roll,,0 USD,in stock,hvac parts supplies > wire electrical accessories,,184WIRE300,new,,,False,,False,,,GTIN
"S-GLZS4BA3010,S-GR9S920603BNA,S-CAPTA3626B3",SOLACE 2.5 Ton 14.3 SEER2 R-32 92% AFUE Dual Fuel System (Upflow Coil),Solace,0 USD,in stock,goodman 1,,"S-GLZS4BA3010,S-GR9S920603BNA,S-CAPTA3626B3",new,,,True,solace,True,GR9S,Goodman GR9S Gas Furnace,GTIN
"GXV6SS2410, AHVE24BP1300, HKTSN05X1, GTST-CW-WH-A",GOODMAN 2 Ton 16.2 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler,Goodman,0 USD,in stock,goodman 1,,"GXV6SS2410, AHVE24BP1300, HKTSN05X1, GTST-CW-WH-A",new,,,True,goodman,False,,,GTIN
"RA14AY30AJ1NA, RCFY3617STANMC",Rheem 2.5 Ton AC System 14.3 SEER2 - R-454B,Rheem,0 USD,in stock,rheem,,"RA14AY30AJ1NA, RCFY3617STANMC",new,,,True,rheem,False,,,GTIN
"S-GLXS5BA3010,S-GR9S920603BNA,S-CHPTA3026B3",SOLACE 2.5 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Solace,0 USD,in stock,solace,,"S-GLXS5BA3010,S-GR9S920603BNA,S-CHPTA3026B3",new,,,True,solace,True,GR9S,Goodman GR9S Gas Furnace,GTIN
4EAVE,"4"" WHITE PLASTIC EAVE Cap with 3"" Long Metal Collar on back",Builders Best,0 USD,in stock,hvac parts supplies,,4EAVE,new,,,False,,False,,,GTIN
182WIRE,18-2 Low Voltage Wire 500' Roll,,0 USD,in stock,hvac parts supplies,,,new,,,False,,False,,,"GTIN, MPN"
"GLZS5BA1810, GR9S800403ANA, CHPTA2426B3",GOODMAN 1.5 Ton 15.2 SEER2 R-32 80% AFUE Dual Fuel System (Horizontal Coil),Goodman,0 USD,in stock,goodman 1,,"GLZS5BA1810, GR9S800403ANA, CHPTA2426B3",new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
ROSSI10,"Rossi 10"" Complete Manual Damper",Rossi,0 USD,in stock,hvac parts supplies > collars,,ROSSI10,new,,,False,,False,,,GTIN
S-GRVT961005DN,"Solace 100,000 BTU 96% AFUE Gas Furnace - S-GRVT961005DN",Solace,0 USD,in stock,solace,,S-GRVT961005DN,new,,,True,solace,False,,,GTIN
08-30-300UB,"8” X 24"" Snaplock Singlewall Pipe",Gray Metal Products,0 USD,in stock,hvac parts supplies,,08-30-300UB,new,,,False,,False,,,GTIN
"GLZS4BA3610, GR9S800604BNA, CAPTA3626B3",GOODMAN 3 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel Heat Pump System (Upflow Coil),Goodman,0 USD,in stock,goodman 1,,"GLZS4BA3610, GM9S800604BNA, CAPTA3626B3",new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
GLXS4BA4210,Goodman GLXS4BA4210 Ton R-32 Air Conditioner,Goodman,0 USD,in stock,goodman 1,,GLXS4BA4210,new,,,True,goodman,False,,,GTIN
JWW81,"5/16"" Flat Washer",,0 USD,in stock,hvac parts supplies,,JWW81,new,,,False,,False,,,GTIN
S-AHVE42CP1300,Solace 3.5 Ton R-32 Air Handler - S-AHVE42CP1300,Solace,0 USD,in stock,solace,,S-AHVE42CP1300,new,,,True,solace,False,,,GTIN
"GLZS5BA3010, AWST30SU1310",GOODMAN 2.5 Ton 15.2 SEER2 R-32 Heat Pump System with Wall-Hung Air Handler AND 10kw Heat Kit,Goodman,0 USD,in stock,goodman 1,,"GLZS5BA3010, AWST30SU1310",new,,,True,goodman,False,,,GTIN
S-GPGM33608031,Solace 3 Ton 13.4 SEER2 Packaged Gas/Electric - S-GPGM33608031,Solace,0 USD,in stock,solace,,S-GPGM33608031,new,,,True,solace,False,,,GTIN
H-NT08,Neutronic Odor Neutralizer Gel 0.5 Pound Gel Tub,,0 USD,in stock,hvac parts supplies,,H-NT08,new,,,False,,False,,,GTIN
RP15AY24AJ2NA,RHEEM 2.0 Ton 15.2 SEER2 Two-Stage Heat Pump,Rheem,0 USD,in stock,rheem,,RP15AY24AJ2NA,new,,,True,rheem,False,,,GTIN
