offer_id,current_title,new_title,brand
"S-GLXS5BA1810,S-AWST18SU1305",SOLACE 1.5 Ton 15.2 SEER2 R-32 Air Conditioning System with Wall-Mounted Air Handler,1.5 Ton 15.2 SEER2 R-32 Air Conditioning System with Wall-Mounted Air Handler - Solace,solace
GPGM56014031,Goodman 5 Ton 15.2 SEER2 Packaged Gas/Electric - GPGM56014031,5 Ton 15.2 SEER2 Packaged Gas/Electric - GPGM56014031 - Goodman,goodman
S-GPHM52431,Solace 2 Ton 15.2 SEER2 Packaged Air Conditioner - S-GPHM52431,2 Ton 15.2 SEER2 Packaged Air Conditioner - S-GPHM52431 - Solace,solace
"GLXS3BN1810, AMST24BU13",GOODMAN 1.5 Ton 13.4 SEER2 R-32 Air Conditioning System with Multi-Position Air Handler,1.5 Ton 13.4 SEER2 R-32 Air Conditioning System with Multi-Position Air Handler - Goodman,goodman
"S-GLXS4BA6010,S-AMST60DU13",SOLACE 5 Ton 14.3 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler,5 Ton 14.3 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler - Solace,solace
"GLXS5BA4210, GR9S920804CNA, CHPTA4230C3",GOODMAN 3.5 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),3.5 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Goodman,goodman
S-GLZS5BA3610,Solace 3 Ton 15.2 SEER2 R-32 Heat Pump - S-GLZS5BA3610,3 Ton 15.2 SEER2 R-32 Heat Pump - S-GLZS5BA3610 - Solace,solace
CHPTA3630B3,Goodman CHPTA3630B3 2½ - 3 Ton R-32 Evaporator Coil,CHPTA3630B3 2½ - 3 Ton R-32 Evaporator Coil - Goodman,goodman
GR9T800603AN,"Goodman 60,000 BTU Gas Furnace 80% AFUE Two-Stage - GR9T800603AN","60,000 BTU Gas Furnace 80% AFUE Two-Stage - GR9T800603AN - Goodman",goodman
"S-GLZS5BA3010,S-GR9S800603ANA,S-CAPTA3022A3",SOLACE 2.5 Ton 15.2 SEER2 R-32 80% AFUE Dual Fuel System (Upflow Coil),2.5 Ton 15.2 SEER2 R-32 80% AFUE Dual Fuel System (Upflow Coil) - Solace,solace
